tag_pairs,count
"['cs.DB', 'cs.DL']",12
"['physics.comp-ph', 'physics.plasm-ph']",14
"['math.LO', 'stat.OT']",1
"['cs.CV', 'math.SP']",1
"['cond-mat.stat-mech', 'q-bio.QM']",3
"['cs.AI', 'hep-lat']",1
"['cs.NI', 'eess.IV']",8
"['cs.AR', 'physics.ed-ph']",1
"['cs.CL', 'econ.EM']",1
"['cs.CY', 'q-fin.TR']",2
"['cs.DC', 'cs.IT']",59
"['cs.RO', 'physics.ins-det']",3
"['astro-ph.CO', 'physics.hist-ph']",2
"['cs.SI', 'q-bio.PE']",21
"['cond-mat.stat-mech', 'physics.data-an']",14
"['cond-mat.stat-mech', 'cs.CE']",2
"['cs.ET', 'math.QA']",3
"['astro-ph.IM', 'eess.AS']",3
"['cs.CV', 'hep-ph']",3
"['math.GR', 'math.NT']",6
"['cond-mat.stat-mech', 'cs.DS']",8
"['eess.SY', 'nlin.CD']",4
"['cs.IT', 'math.GM']",1
"['cs.CL', 'q-fin.PR']",1
"['eess.IV', 'math.PR']",1
"['eess.SY', 'quant-ph']",15
"['cs.AI', 'cs.PF']",69
"['math.PR', 'math.ST']",119
"['cs.AR', 'cs.NE']",39
"['eess.IV', 'physics.optics']",42
"['cs.CY', 'cs.DB']",25
"['physics.comp-ph', 'physics.data-an']",21
"['cond-mat.soft', 'cs.CL']",2
"['cs.IT', 'q-bio.QM']",13
"['cs.NE', 'econ.GN']",1
"['cs.DL', 'cs.SE']",5
"['cs.LG', 'physics.atom-ph']",3
"['cs.LO', 'cs.NE']",6
"['cs.FL', 'math.PR']",3
"['cs.AI', 'physics.class-ph']",2
"['cs.LG', 'cs.NE']",954
"['cs.CV', 'physics.app-ph']",15
"['cs.CL', 'physics.bio-ph']",2
"['cond-mat.stat-mech', 'hep-th']",6
"['cs.GR', 'physics.chem-ph']",1
"['cs.DC', 'stat.CO']",7
"['cond-mat.mtrl-sci', 'quant-ph']",6
"['physics.comp-ph', 'q-bio.BM']",3
